Left Elbow,Right Elbow,Left Knee,Right Knee
52.06589659,87.8349222,85.28524214,39.88883389
37.63131878,96.98246231,89.10877686,35.54826904
27.011735,46.69284989,55.04353931,41.93706879
10.78118327,29.37772758,34.93439098,38.67182048
56.62126594,21.11940877,47.80492249,51.31258785
54.32448026,22.03387574,30.29478228,68.99726294
38.38291164,14.50540494,11.18632789,61.85999292
47.39164009,25.29949501,64.9623499,80.48055777
53.79334979,147.3534032,68.7972589,87.36396396
51.90826817,137.8711145,64.25383729,76.0183836
54.77500078,119.9698208,82.45998454,72.36559534
56.4428691,136.2089615,77.70314575,69.39670326
67.50412752,129.4542686,80.79132967,78.21063853
26.89452619,76.93221534,83.97904795,79.4014565
71.14700174,17.28742732,81.08948985,79.85192389
94.87921094,29.09870513,88.4884191,86.11931822
103.6828458,38.45401946,56.54672776,71.28312971
108.2571043,57.9504927,49.52495202,54.37529832
109.2457457,107.2176152,49.68029466,60.97301869
106.1754417,128.5066464,67.74413288,68.81209141
13.63658076,96.51596343,59.15876506,58.70468316
53.63076611,100.9918309,81.72120431,66.05769405
18.01519359,109.2220026,91.59821859,75.87298207
23.79535349,74.53355857,85.15178318,84.6824316
31.69252129,92.87340481,94.98676804,84.71321223
28.85664239,102.7664585,88.82491799,76.12328089
45.12848994,104.3623716,82.35688761,74.87219789
21.23562786,36.71563002,78.68119934,73.05017548
20.87207571,103.195142,84.78406989,74.77544197
33.44412743,101.3146131,89.87667684,74.73077504
35.53464151,96.42687829,64.93597302,61.90375682
33.52288714,8.917761371,73.54340782,57.53252611
28.15120305,115.5135574,77.92170667,53.05487999
23.94075295,121.51383,83.08301661,66.07535473
46.34222072,112.042511,94.25540648,112.7735416
97.65063517,98.80793977,106.2603976,133.9802408
96.68611956,76.51635767,96.71206879,138.5011473
106.6228179,41.56882015,96.15629707,149.0830705
117.9182359,25.65000196,91.30703254,54.717742
124.6808952,22.98063168,96.09824697,120.641647
115.1100587,18.73871986,98.99673496,101.2300851
117.5702571,16.34573407,106.6362305,123.9462095
47.12835314,17.83129667,84.1249906,126.3083188
47.62810087,14.65788455,80.61203123,132.3300608
25.3081938,17.17769341,55.06293537,146.4393233
94.53796056,21.82663508,26.30507013,4.934309216
101.071219,15.47093929,64.35064076,49.81093875
100.2160935,11.73679711,79.50384648,81.255308
38.6902734,10.64843348,80.82755746,92.15954354
52.54660699,11.19889472,79.05711928,96.71369747
66.63518788,16.0195536,56.7225426,94.17155396
91.50189046,16.16022279,67.81274661,86.64826112
54.02262419,12.45786787,77.98886252,53.73610213
21.00296461,12.36265728,46.56506166,150.1098533
106.4040988,21.76118073,107.2135488,68.09706304
122.3198568,20.58754534,117.4832688,77.82183025
83.36480798,17.93250231,116.2180446,76.36826586
108.1968304,33.68574411,101.7569935,87.18407897
67.29466986,35.2412592,101.0284567,88.87719054
130.0877559,116.7410715,99.43712166,94.84964794
69.49541611,124.2304127,91.14790887,54.14086065
73.42222317,122.6625001,34.62671792,41.15038922
86.6470396,113.881575,34.19402381,29.41023264
78.35106752,117.3385564,31.92875904,39.80762102
79.4333479,90.04654597,62.51518373,55.90543392
26.1024224,91.07003884,69.78709923,70.25924765
50.79055298,80.00684474,81.26861279,113.4922855
49.68194289,31.26894244,85.10241431,101.4088815
18.2326603,19.91105409,84.47213415,106.3423514
24.47128386,17.23635021,77.61055695,63.30030768
29.59107842,25.09457079,82.64113177,75.41083454
36.48138436,31.71031267,81.96249462,68.20763584
24.30185397,25.56317287,71.58322332,34.7177537
25.05424257,46.6563589,87.25522014,96.8382575
47.69881693,36.82460608,103.6393055,131.3538507
35.33617034,32.9271352,124.1691789,154.897913
39.10991649,122.1715007,118.7196831,162.47153
98.2192471,127.7942052,113.2842949,165.4148757
89.46922191,104.3463741,103.6258734,170.7782726
78.22114664,38.6991435,123.2764053,167.0929205
33.55519669,28.37962393,122.5502002,153.3388343
21.64662616,20.06667147,138.0348337,149.2695815
22.23927978,16.86046705,96.80779991,101.7173901
9.283896193,22.87557951,76.03220265,65.20071963
14.51727287,23.56965771,78.09250797,74.7477722
21.79085218,24.06851538,70.26518436,57.18871578
18.94843702,28.5220142,55.76360362,52.17897652
13.47174273,31.82956335,73.75823446,58.21408052
33.66499561,62.62637481,131.048197,68.2525379
61.10721484,72.44591817,145.767281,63.45621363
119.912996,45.65392751,151.2229398,84.1867173
116.9784691,51.31904621,156.6717443,97.82234006
118.6578001,71.90087779,160.1315639,105.9992916
32.34923602,79.25992412,159.7792142,113.378806
19.80067132,31.57314894,157.5493987,116.6891385
23.11389055,40.84157243,153.307732,107.0107917
25.94786432,45.21987917,127.747678,101.6602715
32.93818302,31.91178683,82.12331628,76.59853972
105.7742519,21.81423595,54.90236039,68.69776963
78.27045943,16.19637531,56.52660514,71.53022697
66.63982577,13.90998066,58.84935091,64.74287934
60.60088768,16.0664122,45.55534924,37.73221023
63.97249135,29.91540741,52.74069801,74.51228045
62.13257444,40.35842922,46.2808629,128.7249782
60.57217677,38.04017419,102.4265736,148.1175983
65.09028418,43.48239356,118.1663581,152.5371553
70.20132674,51.99207284,123.5564738,152.0524255
78.85755693,34.15469232,120.7840198,152.597889
